venue_name,city,capacity,capacity_source,retrieved
M Chinnaswamy Stadium,Bengaluru,40000,wikipedia-exact,2026-09-17
MA Chidambaram Stadium,Chennai,38200,wikipedia-exact,2026-09-17
Madhavrao Scindia Cricket Ground,Rajkot,15000,wikipedia-exact,2026-09-17
Maharaja Yadavindra Singh International Cricket Stadium,New Chandigarh,40000,wikipedia-exact,2026-09-17
Maharashtra Cricket Association Stadium,Pune,42700,wikipedia-exact,2026-09-17
Mahinda Rajapaksa International Cricket Stadium,Hambantota,35000,wikipedia-exact,2026-09-17
Mangaung Oval,Bloemfontein,20000,wikipedia-exact,2026-09-17
Mannofield Park,Aberdeen,6000,wikipedia-name,2026-09-17
Manuka Oval,Canberra,12000,wikipedia-exact,2026-09-17
Maple Leaf North-West Ground,King City,7000,wikipedia-verified,2026-09-17
McLean Park,Napier,19700,wikipedia-exact,2026-09-17
Melbourne Cricket Ground,Melbourne,100024,wikipedia-exact,2026-09-17
Mission Road Ground,Hong Kong,3500,wikipedia-name,2026-09-17
Mombasa Sports Club Ground,Mombasa,1000,wikipedia-exact,2026-09-17
Multan Cricket Stadium,Multan,35000,wikipedia-exact,2026-09-17
Namibia Cricket Ground,Windhoek,7500,wikipedia-exact,2026-09-17
Narendra Modi Stadium,Ahmedabad,132000,wikipedia-exact,2026-09-17
National Cricket Stadium,St George's,5000,wikipedia-name,2026-09-17
National Stadium,Karachi,30000,wikipedia-exact,2026-09-17
Nehru Stadium,Guwahati,250000,wikipedia-exact,2026-09-17
Nehru Stadium,Kochi,250000,wikipedia-name,2026-09-17
Nehru Stadium,Margao,250000,wikipedia-name,2026-09-17
Nehru Stadium,Pune,250000,wikipedia-name,2026-09-17
Newlands,Cape Town,25000,wikipedia-verified,2026-09-17
Niaz Stadium,Sind,15000,wikipedia-name,2026-09-17
Niranjan Shah Stadium,Rajkot,28000,wikipedia-exact,2026-09-17
North Marine Road Ground,Scarborough,11500,wikipedia-exact,2026-09-17
North Sydney Oval,Sydney,20000,wikipedia-exact,2026-09-17
Old Trafford,Manchester,26000,wikipedia-exact,2026-09-17
P Sara Oval,Colombo,15000,wikipedia-exact,2026-09-17
Pallekele International Cricket Stadium,Kandy,35000,wikipedia-name,2026-09-17
Perth Stadium,Perth,61266,wikipedia-exact,2026-09-17
Providence Stadium,Providence,15000,wikipedia-exact,2026-09-17
Punjab Cricket Association IS Bindra Stadium,Chandigarh,28000,wikipedia-verified,2026-09-17
Queen's Park Oval,Port of Spain,25000,wikipedia-exact,2026-09-17
Queens Sports Club,Bulawayo,9000,wikipedia-exact,2026-09-17
Queenstown Events Centre,Queenstown,19000,wikipedia-exact,2026-09-17
R Premadasa Stadium,Colombo,35000,wikipedia-exact,2026-09-17
Rangiri Dambulla International Stadium,Dambulla,16800,wikipedia-exact,2026-09-17
Rawalpindi Cricket Stadium,Rawalpindi,15000,wikipedia-exact,2026-09-17
Riverside Ground,Chester-le-Street,17000,wikipedia-exact,2026-09-17
Riverway Stadium,Townsville,10000,wikipedia-exact,2026-09-17
Ruaraka Sports Club Ground,Nairobi,1000,wikipedia-exact,2026-09-17
Sabina Park,Kingston,20000,wikipedia-exact,2026-09-17
Sawai Mansingh Stadium,Jaipur,23185,wikipedia-exact,2026-09-17
Senwes Park,Potchefstroom,18000,wikipedia-exact,2026-09-17
Shaheed Chandu Stadium,Bogra,15000,wikipedia-exact,2026-09-17
Sharjah Cricket Stadium,Sharjah,16000,wikipedia-exact,2026-09-17
Sheikh Abu Naser Stadium,Khulna,15600,wikipedia-exact,2026-09-17
Sheikh Zayed Stadium,Abu Dhabi,20000,wikipedia-verified,2026-09-17
Shere Bangla National Stadium,Dhaka,25416,wikipedia-verified,2026-09-17
Sir Vivian Richards Stadium,North Sound,10000,wikipedia-name,2026-09-17
Sophia Gardens,Cardiff,15000,wikipedia-exact,2026-09-17
St George's Park,Gqeberha,19000,wikipedia-verified,2026-09-17
St Lawrence Ground,Canterbury,15000,wikipedia-exact,2026-09-17
SuperSport Park,Centurion,21000,wikipedia-verified,2026-09-17
Sydney Cricket Ground,Sydney,48000,wikipedia-exact,2026-09-17
Sylhet International Cricket Stadium,Sylhet,18500,wikipedia-exact,2026-09-17
Terdthai Cricket Ground,Bangkok,4000,wikipedia-exact,2026-09-17
The Rose Bowl,Southampton,25000,wikipedia-verified,2026-09-17
The Village,Dublin,11500,wikipedia-verified,2026-09-17
The Wanderers Stadium,Johannesburg,34000,wikipedia-verified,2026-09-17
Three Ws Oval,Cave Hill,2000,wikipedia-name,2026-09-17
Titwood,Glasgow,6000,wikipedia-exact,2026-09-17
Trent Bridge,Nottingham,17000,wikipedia-exact,2026-09-17
Tribhuvan University International Cricket Ground,Kirtipur,20000,wikipedia-exact,2026-09-17
University Oval,Dunedin,6000,wikipedia-exact,2026-09-17
Vidarbha Cricket Association Ground,Nagpur,200000,wikipedia-exact,2026-09-17
Vidarbha Cricket Association Stadium,Nagpur,45000,wikipedia-exact,2026-09-17
W.A.C.A. Ground,Perth,20000,wikipedia-exact,2026-09-17
Wankhede Stadium,Mumbai,33108,wikipedia-exact,2026-09-17
Western Australia Cricket Association Ground,Perth,20000,wikipedia-verified,2026-09-17
Willowmoore Park,Benoni,20000,wikipedia-exact,2026-09-17
Windsor Park,Dominica,12000,wikipedia-name,2026-09-17
Zahur Ahmed Chowdhury Stadium,Chattogram,22000,wikipedia-verified,2026-09-17
